Metric,Value
route__antenna_violation__count,6
antenna_diodes_count,1628
design__instance__count__class:antenna_cell,1832
design__instance__area__class:antenna_cell,9971.94
route__net,47065
route__net__special,22
route__drc_errors__iter:0,1222
route__wirelength__iter:0,4401386
route__drc_errors__iter:1,287
route__wirelength__iter:1,4401338
route__drc_errors__iter:2,198
route__wirelength__iter:2,4401310
route__drc_errors__iter:3,0
route__wirelength__iter:3,4401266
route__drc_errors__iter:4,0
route__wirelength__iter:4,4401057
route__drc_errors,0
route__wirelength,4401266
route__vias,332571
route__vias__singlecut,332571
route__vias__multicut,0
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,2503.13
design__instance__count__class:fill_cell,272371
design__instance__area__class:fill_cell,3073610
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,375
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,375
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,375
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,375
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VDD__corner:nom_typ_1p20V_25C,1.19762
design_powergrid__drop__average__net:VDD__corner:nom_typ_1p20V_25C,1.19919
design_powergrid__drop__worst__net:VDD__corner:nom_typ_1p20V_25C,0.00237906
design_powergrid__voltage__worst__net:VSS__corner:nom_typ_1p20V_25C,0.00268467
design_powergrid__drop__average__net:VSS__corner:nom_typ_1p20V_25C,0.00187408
design_powergrid__drop__worst__net:VSS__corner:nom_typ_1p20V_25C,0.00268467
design_powergrid__voltage__worst,0.00268467
design_powergrid__voltage__worst__net:VDD,1.19762
design_powergrid__drop__worst,0.00268467
design_powergrid__drop__worst__net:VDD,0.00237906
design_powergrid__voltage__worst__net:VSS,0.00268467
design_powergrid__drop__worst__net:VSS,0.00268467
ir__voltage__worst,1.2
ir__drop__avg,0.000813
ir__drop__worst,0.00238
design__xor_difference__count,0
klayout__antenna_error__count,0
klayout__density_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,17208
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
